region_count,nuclei_count,weak_count,medium_count,strong_count,positive_nuclei_count,tissue_pixels,positive_pixels,positive_area_pct,positive_nuclei_pct,weak_1plus_pct,medium_2plus_pct,strong_3plus_pct,pred_intensity_score,pred_percent_score,pred_final_score,pred_expression,relative_dir,file,source_image,image_path
14,19,9,4,1,19,22848,3384,14.81,100.0,64.29,28.57,7.14,2,3,6,high,0,DNMT3A_1882_block1.jpg_x1024_y1792.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1024_y1792.jpg
19,28,14,3,2,28,42669,6650,15.59,100.0,73.68,15.79,10.53,2,3,6,high,0,DNMT3A_1882_block1.jpg_x1280_y1792.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1280_y1792.jpg
26,36,23,3,0,36,45806,7875,17.19,100.0,88.46,11.54,0.0,2,3,6,high,0,DNMT3A_1882_block1.jpg_x1280_y2048.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1280_y2048.jpg
19,24,11,5,3,24,36246,5117,14.12,100.0,57.89,26.32,15.79,3,3,9,high,0,DNMT3A_1882_block1.jpg_x1280_y2304.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1280_y2304.jpg
17,17,10,3,4,17,23002,2287,9.94,100.0,58.82,17.65,23.53,3,3,9,high,0,DNMT3A_1882_block1.jpg_x1280_y2560.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1280_y2560.jpg
17,21,11,2,4,21,30898,4980,16.12,100.0,64.71,11.76,23.53,3,3,9,high,0,DNMT3A_1882_block1.jpg_x1280_y512.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1280_y512.jpg
16,24,13,1,2,24,41611,5909,14.2,100.0,81.25,6.25,12.5,3,3,9,high,0,DNMT3A_1882_block1.jpg_x1280_y768.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1280_y768.jpg
12,16,7,3,2,16,21676,3232,14.91,100.0,58.33,25.0,16.67,3,3,9,high,0,DNMT3A_1882_block1.jpg_x1536_y1024.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1536_y1024.jpg
16,24,14,1,1,24,30185,9036,29.94,100.0,87.5,6.25,6.25,2,3,6,high,0,DNMT3A_1882_block1.jpg_x1536_y1792.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1536_y1792.jpg
18,25,12,2,4,25,33027,8220,24.89,100.0,66.67,11.11,22.22,3,3,9,high,0,DNMT3A_1882_block1.jpg_x1536_y2048.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1536_y2048.jpg
24,32,16,6,2,32,39059,8448,21.63,100.0,66.67,25.0,8.33,2,3,6,high,0,DNMT3A_1882_block1.jpg_x1536_y2304.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1536_y2304.jpg
12,20,6,2,4,20,32173,5167,16.06,100.0,50.0,16.67,33.33,3,3,9,high,0,DNMT3A_1882_block1.jpg_x1536_y256.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1536_y256.jpg
10,16,8,1,1,16,28862,4171,14.45,100.0,80.0,10.0,10.0,2,3,6,high,0,DNMT3A_1882_block1.jpg_x1536_y2560.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1536_y2560.jpg
22,28,12,7,3,28,38962,4488,11.52,100.0,54.55,31.82,13.64,3,3,9,high,0,DNMT3A_1882_block1.jpg_x1536_y512.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1536_y512.jpg
10,14,7,2,1,13,19869,2120,10.67,92.86,70.0,20.0,10.0,2,3,6,high,0,DNMT3A_1882_block1.jpg_x1792_y2048.jpg,DNMT3A_1882_block1.jpg,260509-HPA_DNMT3a_Patches影像檔案\256\0\DNMT3A_1882_block1.jpg_x1792_y2048.jpg
